6279 1977 UO5                        254.742372  3.1146221  0.20245932 356.348496  68.579391   2.402972  12.4
6280 Sicardy                          84.283934  2.2227720  0.14418607  49.460374 354.586034   6.561920  13.4
6281 1980 SD                         144.160843  2.5872208  0.17830024 279.929187  19.301313  12.612685  13.0
6282 Edwelda                         348.654113  2.3108463  0.21641456  24.924903  34.239283   2.817156  14.7
6283 1980 VX1                        262.268802  2.7910552  0.20519661  84.443757 359.820900   7.318003  13.3
6284 1981 EM19                        16.329866  2.8556650  0.01094105  35.030272 334.090331   1.247098  13.4
6285 1981 EA26                       357.787992  2.6823627  0.18795055 292.499220 218.743899   1.982436  15.0
6286 1983 EU                         178.242735  2.2478841  0.08499068  10.809536 183.667966   4.167491  13.7
6287 1984 AR                         216.713608  3.1389882  0.13502473  88.273830  25.256550   1.106703  12.5
6288 1984 ER1                        242.088035  3.1934401  0.17894605 296.669751 150.766511   2.298080  12.3
6289 1984 HP1                        175.234146  3.1783850  0.11662117 171.037137  41.842206   2.106531  12.9
6290 1985 CA2                         88.278190  2.2220938  0.09163377 301.166046 125.461526   5.117951  14.1
6291 1985 TM1                         66.285308  2.4806672  0.21616618  31.635955  21.603463  11.534784  13.2
6292 1986 QQ2                         35.306423  2.3385019  0.08903638 285.405359 134.924803   7.591821  13.6
6293 Oberpfalz                        73.192243  2.2555873  0.15880677 267.440561 138.120034   0.936466  15.0
6294 Czerny                          262.205063  2.2807285  0.10463351 306.992979 294.530880   2.576513  13.7
6295 Schmoll                          68.354480  2.3434141  0.19553550  27.909456 333.914383   3.235756  13.6
6296 Cleveland                        82.836046  1.8908916  0.06213517  36.540752 111.614510  27.055483  13.6
6297 1988 VZ1                        182.342509  3.1502216  0.13225789 125.738753  13.513483   0.296816  11.6
6298 1988 XC                         277.472257  3.0901971  0.28353367  58.027500  12.223717   3.859175  13.3
6299 1988 XQ1                        114.877140  2.8641390  0.04210546 208.723755  81.677518   3.219856  12.4
6300 1988 YB                         227.011708  3.2399999  0.14201599  45.288918  70.234971   1.864881  12.5
6301 1989 BR1                        125.706609  3.1706280  0.16242302 245.353777  16.329697   0.496016  11.8
